x,y
934,912
910,906
890,898
866,887
841,873
799,847
772,826
744,801
719,772
694,742
661,690
645,652
633,613
622,576
613,540
604,493
599,472
597,457
596,451
596,454
597,466
600,483
608,510
618,528
631,544
648,558
684,570
710,569
737,561
764,547
789,528
826,490
850,463
873,430
898,392
919,341
930,312
937,286
940,265
941,251
941,244
942,248
947,256
961,269
989,287
1014,299
1041,309
1076,321
1134,340
1174,354
1211,368
1246,383
1297,406
1327,421
1350,433
1370,445
1411,466
1421,470
1425,471
1426,471
1423,470
1409,468
1365,457
1333,453
1306,454
1283,457
1261,464
1229,486
1209,509
1192,535
1184,564
1181,592
1193,634
1211,661
1235,687
1266,715
1319,751
1352,774
1379,793
1400,805
1415,815
1418,815
1417,815
1414,813
1387,799
1359,786
1326,771
1290,758
1238,747
1202,745
1163,750
1123,762
1089,779
1051,802
1032,819
1017,838
1007,855
997,876
993,887
990,896
986,902
