x,y
933,915
924,914
915,912
902,908
879,902
864,893
846,885
827,874
809,863
780,844
760,827
741,810
724,789
696,760
678,742
666,724
649,704
634,682
617,646
611,621
608,600
604,580
596,555
590,542
585,531
580,522
577,517
575,515
574,515
575,515
578,516
580,517
584,519
592,522
600,524
609,527
622,530
644,534
687,534
713,528
739,523
781,508
808,494
834,479
860,461
884,444
904,428
933,400
948,382
961,361
973,338
987,307
994,287
999,269
1002,255
1003,244
1002,230
1004,223
1005,217
1006,212
1007,211
1008,212
1014,214
1021,217
1044,227
1062,237
1082,247
1104,257
1140,274
1166,289
1197,301
1228,316
1259,332
1312,358
1346,375
1377,393
1410,412
1459,441
1489,459
1520,477
1549,494
1592,518
1618,529
1641,539
1662,548
1685,559
1693,563
1698,566
1701,567
1700,566
1697,564
1688,557
1674,548
1658,544
1639,540
1607,535
1583,533
1560,529
1539,528
1503,527
1477,527
1450,532
1426,539
1392,545
1374,553
1357,560
1337,573
1324,583
1314,595
1309,609
1302,624
1303,644
1308,660
1313,676
1318,691
1335,715
1345,730
1355,746
1370,763
1392,787
1407,802
1420,815
1434,826
1450,836
1456,843
1460,848
1462,857
1461,861
1458,862
1451,859
1434,850
1416,844
1398,835
1376,830
1341,822
1315,817
1289,814
1263,811
1220,808
1193,808
1165,810
1139,816
1112,821
1075,830
1054,839
1035,848
1017,858
999,872
990,881
984,889
978,898
