x,y
925,912
904,900
887,888
871,874
853,856
826,829
807,806
788,783
769,755
750,725
727,678
712,649
699,622
684,595
671,575
652,548
644,532
633,521
627,510
621,501
616,498
617,498
622,500
627,503
636,508
646,514
661,521
689,526
710,528
732,528
757,523
795,508
822,492
848,470
872,449
893,425
919,388
934,365
946,341
954,320
960,295
961,284
959,277
959,273
959,272
960,272
962,275
966,279
971,285
981,295
1000,311
1017,326
1038,340
1062,355
1106,375
1138,389
1171,404
1203,421
1238,439
1292,464
1327,480
1359,496
1405,520
1434,536
1462,554
1487,570
1523,592
1545,604
1564,615
1580,622
1596,629
1601,633
1603,632
1600,625
1593,618
1581,606
1552,590
1528,580
1500,570
1472,566
1428,565
1396,569
1365,578
1333,590
1288,615
1261,634
1239,656
1222,676
1211,696
1202,729
1201,752
1205,775
1210,795
1223,824
1233,841
1245,856
1256,868
1267,879
1284,893
1290,899
1295,903
1297,905
1298,905
1296,905
1293,901
1283,890
1270,879
1256,867
1233,852
1213,843
1193,833
1173,825
1138,812
1114,807
1088,804
1061,804
1023,809
1000,815
980,823
965,830
954,840
944,858
941,872
940,884
940,896
