x,y
947,894
940,884
933,872
924,858
914,845
894,820
877,801
859,781
839,760
807,728
785,706
759,683
735,660
709,638
671,605
644,586
618,565
593,548
560,524
538,509
518,497
500,488
479,476
465,470
456,466
444,462
441,461
440,461
441,462
445,464
452,466
467,470
483,476
509,483
531,484
555,484
594,479
621,472
650,465
681,453
713,439
761,415
792,398
821,378
847,359
884,325
906,300
927,276
945,252
961,229
978,201
985,185
990,172
993,162
995,156
995,151
995,150
996,153
996,156
997,162
1000,177
1005,190
1011,205
1019,221
1036,249
1051,268
1069,288
1091,306
1128,335
1156,354
1186,373
1219,390
1254,405
1313,425
1353,437
1396,447
1499,460
1569,465
1635,460
1660,453
1664,450
1653,443
1612,440
1563,446
1489,463
1411,491
1358,524
1308,574
1295,597
1287,622
1278,648
1271,677
1262,720
1257,749
1256,776
1255,799
1258,822
1264,855
1271,873
1276,888
1282,898
1286,904
1286,907
1284,906
1279,903
1272,897
1255,882
1240,870
1223,856
1206,842
1186,828
1151,811
1127,803
1101,797
1075,795
1037,800
1015,807
995,816
977,826
963,839
950,862
945,876
943,890
