x,y
958,848
963,836
966,828
968,819
969,811
968,798
965,789
962,779
960,769
958,761
951,750
944,742
938,735
931,727
918,716
909,706
898,700
888,693
871,683
859,677
848,670
838,665
827,661
809,656
796,656
782,654
770,653
753,652
743,652
731,652
720,653
707,655
690,659
677,661
667,663
654,665
635,670
622,672
610,676
597,679
578,683
565,685
554,689
535,696
523,700
513,704
500,710
484,717
474,722
462,729
443,740
433,748
421,756
411,764
397,775
388,781
381,789
366,801
358,811
352,817
346,822
344,825
345,824
349,820
360,805
371,791
384,774
399,754
425,725
441,706
459,688
488,662
510,645
532,629
554,615
587,599
606,591
624,587
652,579
671,573
691,570
710,568
726,566
749,561
762,560
775,561
788,563
804,564
813,565
820,565
826,565
829,562
829,561
830,559
831,557
833,554
835,545
836,538
837,532
838,526
840,519
843,511
847,503
852,496
856,489
865,478
871,473
876,469
882,464
889,459
900,455
909,453
917,452
926,451
939,451
947,452
955,453
963,455
974,457
979,461
985,463
989,464
991,464
992,465
991,463
990,461
990,459
990,458
991,455
992,452
995,447
999,440
1002,435
1004,429
1007,424
1009,419
1012,410
1014,405
1015,399
1015,393
1017,384
1018,378
1020,371
1022,363
1024,355
1029,344
1033,335
1038,327
1045,318
1053,309
1072,293
1085,285
1097,281
1111,276
1131,271
1145,267
1161,267
1178,266
1204,266
1223,266
1241,270
1262,272
1282,276
1311,282
1333,289
1351,296
1370,301
1398,313
1416,321
1435,330
1464,343
1483,354
1499,364
1517,376
1544,395
1562,407
1579,420
1600,442
1616,457
1630,474
1640,492
1654,518
1659,537
1663,554
1663,579
1658,595
1654,610
1644,624
1627,643
1614,655
1598,666
1576,680
1563,690
1550,699
1534,707
1496,721
1465,731
1437,740
1413,749
1379,759
1356,766
1331,773
1305,779
1265,793
1240,801
1217,809
1194,816
1161,827
1141,832
1120,837
1102,841
1077,849
1064,853
1052,858
1042,863
1033,867
1018,871
1007,874
994,880
