x,y
943,854
937,846
932,837
920,823
910,813
897,804
884,795
860,782
842,776
824,770
804,765
781,762
746,760
722,759
698,758
674,758
638,759
616,761
595,765
574,770
546,777
527,782
512,788
489,797
476,806
463,813
452,822
437,834
428,844
420,852
415,861
406,872
402,879
400,885
398,888
398,889
399,888
409,875
420,861
433,845
448,831
476,806
498,790
523,775
550,761
593,741
623,729
653,720
685,709
732,699
763,693
793,687
822,683
849,682
888,680
913,677
936,674
957,670
974,665
990,653
996,642
998,630
997,613
992,579
987,552
981,525
975,498
969,474
960,442
954,423
952,404
956,387
970,362
986,349
1007,336
1032,325
1064,319
1116,313
1153,312
1193,313
1235,316
1275,320
1340,323
1381,330
1420,338
1476,351
1510,360
1541,371
1569,382
1610,400
1635,414
1656,427
1677,441
1702,463
1716,476
1727,490
1735,504
1745,526
1748,541
1749,554
1745,579
1738,592
1730,608
1718,622
1693,643
1674,657
1652,671
1616,692
1588,705
1559,718
1527,731
1497,744
1450,760
1421,770
1392,781
1354,794
1329,800
1308,809
1286,814
1265,819
1236,828
1218,833
1202,836
1185,839
1163,844
1148,848
1132,851
1116,853
1101,856
1077,860
1064,863
1050,866
1038,868
1022,871
1011,873
1002,875
993,879
985,882
