x,y
970,848
971,838
971,819
971,805
971,788
971,770
971,752
968,729
962,713
954,700
944,687
926,667
912,654
896,644
879,634
850,626
827,623
803,620
779,620
754,621
717,625
692,628
665,636
640,642
616,650
581,662
558,671
538,681
518,693
493,711
478,722
465,731
451,741
443,747
438,750
437,751
437,750
445,741
453,730
463,719
473,705
486,692
504,670
519,656
532,642
548,628
575,604
592,589
609,574
634,556
651,547
669,537
687,531
706,529
721,528
743,530
753,533
762,538
772,544
777,546
780,548
781,548
782,548
782,549
784,548
786,546
789,542
793,537
800,523
805,511
811,499
815,488
822,478
833,464
843,457
852,451
861,446
871,444
885,441
895,440
903,440
911,443
923,446
929,450
935,452
940,454
944,456
949,457
951,457
952,457
952,456
953,452
954,445
952,438
951,434
950,424
950,417
950,409
952,401
953,393
959,380
962,370
967,361
973,353
985,338
994,328
1004,320
1014,311
1023,303
1039,292
1050,286
1062,283
1076,280
1095,275
1107,275
1120,275
1132,275
1145,278
1164,284
1179,289
1192,293
1206,300
1219,307
1241,318
1257,326
1274,334
1290,341
1317,356
1335,366
1350,375
1367,385
1382,395
1407,408
1425,416
1443,425
1460,433
1486,448
1503,455
1518,465
1540,479
1554,489
1568,499
1580,510
1598,526
1610,536
1619,547
1629,559
1642,574
1650,583
1658,592
1666,601
1673,611
1676,617
1678,622
1680,626
1680,628
1677,635
1673,640
1662,647
1653,655
1642,660
1624,668
1609,676
1594,683
1574,693
1555,701
1525,715
1504,723
1483,732
1449,742
1426,749
1403,756
1380,763
1344,774
1321,781
1298,789
1272,795
1247,802
1209,814
1186,821
1162,827
1138,834
1104,843
1083,848
1062,853
1043,858
1025,864
1007,869
