x,y
970,846
970,830
968,818
964,806
959,796
951,785
935,767
922,757
907,748
890,742
859,734
838,729
817,727
794,728
770,730
732,735
706,739
679,743
653,751
617,759
593,768
570,775
549,784
521,798
503,807
485,817
470,827
449,839
439,846
430,852
422,855
417,859
416,858
415,856
417,847
421,835
429,822
438,806
460,780
479,763
501,744
525,723
567,694
597,674
628,654
661,634
713,606
748,590
783,575
819,562
854,552
900,543
927,539
951,536
970,534
987,534
991,533
992,533
992,532
992,530
989,516
986,501
982,484
980,468
979,453
979,429
980,417
983,406
986,399
992,393
1009,384
1026,380
1045,378
1070,377
1114,373
1145,372
1180,372
1216,371
1247,373
1295,379
1325,388
1349,397
1372,409
1399,428
1413,443
1423,458
1431,476
1440,504
1443,525
1443,547
1437,578
1430,602
1422,626
1411,649
1393,683
1379,705
1363,726
1346,746
1318,772
1299,791
1280,808
1262,824
1245,838
1223,861
1210,875
1198,890
1186,903
1176,915
1163,929
1156,939
1147,945
1139,950
1125,957
1115,958
1105,958
1094,957
1083,952
1066,942
1055,936
1043,930
1030,925
1017,919
999,910
990,905
981,898
