x,y
955,853
952,834
946,814
942,791
931,763
922,751
910,742
896,733
880,724
853,712
833,703
812,698
792,694
771,691
738,690
716,689
693,690
670,692
634,698
614,704
593,710
573,718
542,732
523,740
503,750
485,761
463,779
447,791
434,805
415,823
403,832
394,841
386,848
381,856
378,859
377,858
377,854
381,844
390,824
402,804
424,771
440,749
460,728
482,704
520,667
549,642
578,619
627,588
661,569
696,554
729,540
763,529
793,521
835,513
863,512
886,511
907,510
928,503
935,501
938,498
939,495
940,493
940,492
940,485
943,477
949,470
956,463
972,455
984,453
994,452
1004,453
1015,458
1020,459
1023,463
1026,466
1028,468
1029,470
1035,469
1038,468
1043,462
1046,457
1052,444
1060,433
1066,421
1071,407
1075,395
1081,377
1082,365
1082,353
1083,341
1085,330
1091,314
1098,304
1104,295
1110,286
1121,276
1132,270
1143,266
1157,263
1179,258
1194,257
1210,258
1227,262
1244,263
1270,269
1287,277
1306,282
1323,289
1339,298
1362,312
1378,320
1392,332
1413,347
1428,360
1444,373
1459,386
1485,407
1500,420
1515,433
1527,445
1546,463
1556,473
1563,485
1573,496
1582,515
1586,526
1587,536
1585,557
1581,572
1575,589
1566,606
1549,631
1534,647
1517,665
1499,682
1470,704
1448,719
1426,732
1403,743
1367,761
1344,770
1319,779
1292,789
1253,800
1231,808
1208,814
1183,822
1158,828
1121,837
1102,842
1083,847
1068,850
1047,853
1035,854
1024,858
1015,860
1008,861
1003,863
994,864
990,865
986,868
