x,y
935,935
919,923
880,888
857,866
832,840
778,782
749,752
718,723
672,684
596,618
564,595
537,580
491,564
472,565
457,570
441,593
439,610
445,629
474,670
494,689
521,704
554,713
676,711
761,675
807,646
853,614
941,536
980,494
1013,450
1060,369
1072,335
1079,305
1080,280
1070,243
1062,233
1053,226
1037,225
1031,231
1028,243
1028,257
1040,298
1052,321
1070,346
1120,398
1151,422
1188,444
1229,463
1634,525
1677,522
1753,516
1783,514
1805,513
1833,515
1835,518
1832,524
1805,541
1780,554
1750,568
1715,583
1635,618
1591,636
1545,656
1453,697
1407,718
1369,737
1308,761
1274,776
1238,791
1169,821
1137,836
1108,848
1082,860
1036,881
1017,891
1000,900
974,915
964,922
