x,y
946,925
944,919
941,910
936,895
932,881
927,865
922,854
918,840
914,830
911,819
907,808
904,795
898,779
894,766
890,755
886,742
879,726
875,717
870,706
865,696
859,685
851,671
845,663
840,654
834,647
824,640
818,633
810,628
802,625
794,624
780,619
771,618
761,621
750,624
733,631
723,638
712,643
700,648
688,656
672,666
664,677
652,688
642,699
632,710
618,728
611,741
604,754
593,773
586,787
580,800
574,813
568,831
563,843
560,853
554,868
551,876
550,886
549,892
550,900
551,901
552,904
556,904
567,897
575,891
585,880
593,868
607,846
614,832
624,817
636,802
652,781
662,764
671,747
681,731
691,717
703,693
713,680
721,665
729,651
739,633
746,618
753,606
759,594
767,576
771,565
776,553
780,543
784,532
789,517
790,510
791,503
792,496
792,492
795,487
797,484
801,479
806,476
811,473
822,471
831,467
841,463
852,459
870,454
884,448
899,443
915,436
929,430
951,419
966,410
979,400
992,391
1008,375
1017,364
1025,353
1032,340
1039,325
1042,313
1043,304
1043,293
1041,285
1036,275
1031,269
1024,265
1017,261
1008,260
995,261
987,262
978,264
970,266
964,275
962,277
961,282
961,285
962,290
967,296
977,307
985,313
993,320
1005,325
1024,337
1037,344
1052,351
1067,358
1092,369
1111,376
1130,383
1150,390
1172,396
1206,406
1229,414
1253,421
1279,428
1319,439
1344,448
1370,455
1394,463
1429,474
1451,483
1473,490
1492,496
1517,506
1531,511
1541,514
1548,517
1555,521
1556,523
1556,524
1553,527
1548,529
1541,534
1529,543
1510,553
1495,561
1481,569
1466,577
1441,592
1422,604
1402,617
1372,636
1354,648
1337,660
1318,672
1299,686
1270,708
1248,723
1230,737
1213,751
1186,770
1168,782
1150,795
1133,809
1117,822
1093,840
1079,851
1064,863
1051,873
1039,883
1021,895
1010,904
1001,910
993,917
987,924
979,931
