x,y
934,953
932,948
929,945
924,940
921,933
917,929
911,921
904,914
900,908
895,900
887,889
881,880
876,873
870,866
863,857
852,843
844,835
837,824
829,816
819,806
806,792
797,784
788,776
778,769
767,761
750,752
738,745
726,741
713,739
701,736
680,736
667,736
652,737
639,740
617,749
606,756
593,766
580,775
565,793
554,805
544,816
536,829
527,849
523,864
519,879
514,897
514,908
515,918
516,925
523,934
530,938
538,942
547,943
571,933
576,929
589,917
599,908
607,896
613,886
627,867
635,854
643,841
654,827
664,809
668,797
673,782
680,767
684,754
693,724
696,711
699,702
701,687
701,679
702,667
703,658
705,647
707,632
709,623
712,615
713,607
717,600
721,589
724,586
728,581
735,575
737,574
743,570
749,569
754,567
759,565
766,561
775,559
782,555
794,551
801,550
810,548
818,545
828,542
836,539
846,534
858,530
868,527
880,521
886,518
901,513
911,509
921,504
930,498
943,492
952,486
974,473
979,470
989,459
996,454
1004,448
1008,440
1016,433
1022,424
1027,417
1029,410
1033,399
1034,395
1034,385
1035,379
1035,373
1033,367
1033,360
1032,354
1030,347
1028,341
1026,335
1024,328
1022,324
1016,319
1013,314
1008,311
1001,309
995,306
989,306
977,307
970,310
963,313
955,316
949,320
942,324
939,326
933,332
932,336
931,339
931,341
932,349
932,352
936,358
937,360
941,366
947,369
952,374
959,377
968,381
976,383
985,386
994,388
1007,394
1018,396
1028,398
1039,400
1050,402
1067,409
1080,413
1093,416
1105,418
1125,423
1132,425
1151,431
1163,434
1176,436
1196,444
1210,450
1222,454
1236,457
1248,463
1270,470
1284,474
1294,477
1308,485
1322,489
1341,496
1352,502
1364,507
1378,515
1386,520
1397,527
1405,532
1419,542
1426,546
1435,550
1442,554
1455,563
1463,567
1471,570
1480,575
1492,582
1500,587
1509,592
1522,599
1530,604
1537,606
1542,608
1548,612
1549,618
1549,622
1547,626
1541,634
1534,640
1525,646
1515,652
1498,663
1488,669
1476,676
1466,682
1448,693
1436,699
1422,703
1410,711
1391,721
1376,729
1362,737
1342,751
1326,759
1308,768
1294,777
1277,788
1250,803
1233,812
1217,823
1200,832
1185,842
1163,855
1149,864
1135,871
1124,877
1111,884
1094,893
1083,900
1074,907
1065,911
1052,918
1045,922
1038,925
1031,928
1025,930
1014,933
1009,936
1005,938
1001,940
992,943
989,944
985,946
