x,y
921,926
892,912
856,893
814,869
742,828
689,795
633,766
576,737
498,701
455,680
418,663
384,647
376,644
375,644
388,648
431,659
473,662
523,663
580,659
677,638
747,612
820,575
894,531
996,449
1052,396
1095,342
1122,294
1136,253
1136,205
1128,180
1117,164
1105,155
1093,156
1080,171
1077,192
1081,217
1093,247
1128,297
1161,330
1203,361
1250,390
1307,418
1400,446
1467,460
1534,470
1632,474
1691,475
1742,474
1782,473
1820,469
1830,467
1830,465
1822,462
1799,461
1766,464
1723,472
1650,489
1598,506
1546,528
1464,568
1412,596
1366,627
1322,660
1264,704
1230,730
1197,756
1165,778
1136,801
1096,835
1072,854
1050,872
1029,888
1011,901
989,916
976,926
