x,y
950,925
949,921
948,916
947,910
945,905
944,900
942,895
941,889
938,880
936,873
934,867
932,862
930,856
926,847
924,841
921,834
918,828
916,822
911,813
908,806
904,800
901,793
895,783
890,776
886,769
881,762
876,756
869,747
864,741
859,734
855,729
850,723
842,715
837,710
832,705
826,700
821,695
812,688
805,684
798,679
789,674
775,667
764,664
749,661
736,659
726,657
711,658
700,659
688,661
675,663
665,665
647,672
635,678
625,683
614,690
601,699
592,704
583,712
573,720
560,732
553,741
544,750
533,763
525,772
518,782
513,792
507,806
504,814
502,822
501,830
501,838
502,845
504,850
508,854
512,858
515,861
521,861
532,856
540,851
548,843
556,835
569,820
578,812
587,801
596,792
609,776
616,766
624,756
635,741
644,732
649,723
658,714
664,705
675,691
684,683
692,672
700,664
707,654
716,643
722,634
728,626
733,617
742,606
747,598
751,591
755,586
759,579
764,569
768,562
772,555
775,549
780,539
784,532
788,527
791,520
796,513
800,504
805,497
808,492
812,487
817,479
821,476
826,473
833,469
841,466
851,461
860,457
869,455
878,453
892,444
902,439
913,435
924,431
935,424
951,415
960,409
970,401
980,392
991,380
998,372
1005,362
1011,351
1016,342
1022,329
1024,322
1026,314
1026,306
1026,299
1021,288
1017,283
1013,278
1008,275
998,270
990,268
983,268
977,272
969,275
962,279
956,284
952,290
949,296
944,304
944,311
945,318
945,324
949,330
955,340
961,346
967,352
975,358
986,367
995,373
1005,377
1015,381
1026,387
1043,395
1055,399
1068,405
1082,409
1095,414
1116,418
1132,424
1146,428
1162,433
1185,438
1200,444
1216,449
1230,453
1245,456
1267,463
1282,467
1294,471
1309,475
1332,482
1345,485
1357,490
1370,493
1387,500
1399,503
1410,507
1425,512
1436,516
1444,520
1454,524
1465,528
1474,530
1481,532
1487,534
1497,539
1502,543
1505,546
1508,548
1511,550
1511,553
1507,560
1501,569
1492,577
1482,585
1468,596
1444,611
1428,621
1411,631
1394,641
1367,656
1348,668
1329,679
1308,691
1279,708
1259,719
1241,732
1223,743
1205,755
1176,774
1157,788
1139,800
1122,811
1100,828
1086,839
1072,851
1055,865
1038,876
1016,890
1006,900
997,906
990,911
985,918
982,922
979,925
974,928
